iter	Quantile:alpha=0.9
0	627.6316193
1	609.9562823
2	591.781802
3	575.4653884
4	558.3051184
5	541.9096289
6	526.6043262
7	510.7367423
8	495.7607252
9	481.6140287
10	468.4311836
11	455.8708532
12	442.8496369
13	431.5719916
14	420.4017331
15	408.0503226
16	397.9954721
17	388.5915953
18	378.2025098
19	368.3384665
20	359.2012349
21	349.4490729
22	340.3894391
23	330.7887536
24	321.4084306
25	312.3453192
26	303.9680845
27	295.4704354
28	287.6813699
29	279.8993934
30	272.8436331
31	266.1048539
32	259.3506026
33	252.006676
34	245.2553524
35	239.1716126
36	234.024834
37	227.7249372
38	222.6877593
39	217.2314968
40	212.3772689
41	207.4850147
42	203.5006142
43	199.9562475
44	195.060432
45	191.3158988
46	187.3496168
47	184.0595416
48	180.0930099
49	177.0381367
50	173.1674154
51	170.4034179
52	167.3661772
53	164.5841754
54	162.1193222
55	159.6655127
56	156.9521953
57	154.9740353
58	152.8634039
59	151.3492689
60	149.3833093
61	147.4882612
62	145.5339531
63	143.9298126
64	142.391004
65	140.4782952
66	139.2263344
67	137.3912329
68	136.2238943
69	135.1195195
70	134.0148949
71	132.9190116
72	131.6362882
73	130.416729
74	128.87223
75	127.9460865
76	126.621126
77	125.9050607
78	124.7975202
79	123.5655986
80	122.8630578
81	121.9557721
82	121.4751228
83	120.8026767
84	120.0247946
85	118.9810958
86	118.1248797
87	117.382739
88	116.1853339
89	115.308543
90	114.7965686
91	114.2069015
92	113.3852898
93	112.7518285
94	112.0500219
95	111.5926591
96	110.9997078
97	110.0863829
98	109.4728652
99	108.7745144
100	108.2460373
101	107.7764125
102	106.9096763
103	106.4634279
104	105.9349738
105	105.3191742
106	104.9578141
107	104.3458824
108	103.8486238
109	103.2876133
110	102.7694202
111	102.2591823
112	101.6652063
113	101.1287693
114	100.7886444
115	100.1418882
116	99.57024299
117	99.01693493
118	98.46819413
119	97.92262894
120	97.42075979
121	96.91980963
122	96.47157227
123	95.94426707
124	95.4959725
125	94.97053915
126	94.12469837
127	93.72084486
128	93.37852722
129	93.11861268
130	92.55836272
131	92.26721776
132	91.97102391
133	91.3523443
134	90.83919534
135	90.55035301
136	90.29350968
137	89.79406072
138	89.49929651
