iter	Passed	Remaining
0	10	8265
1	18	7499
2	27	7295
3	35	7091
4	43	6984
5	51	6852
6	60	6805
7	68	6762
8	76	6721
9	84	6679
10	92	6666
11	101	6641
12	109	6601
13	117	6589
14	125	6583
15	133	6552
16	141	6536
17	150	6518
18	158	6501
19	166	6495
20	174	6472
21	183	6485
22	191	6476
23	200	6491
24	208	6476
25	217	6469
26	226	6481
27	234	6466
28	242	6458
29	250	6437
30	259	6439
31	268	6436
32	276	6433
33	285	6426
34	293	6419
35	302	6413
36	310	6402
37	318	6392
38	326	6379
39	336	6384
40	343	6366
41	351	6352
42	360	6341
43	368	6330
44	376	6319
45	385	6325
46	395	6341
47	405	6350
48	414	6351
49	423	6355
50	433	6362
51	442	6361
52	451	6366
53	460	6362
54	469	6365
55	478	6362
56	488	6361
57	498	6378
58	507	6376
59	517	6378
60	525	6370
61	535	6377
62	545	6376
63	554	6374
64	563	6372
65	573	6374
66	582	6371
67	591	6361
68	599	6348
69	607	6336
70	615	6320
71	624	6315
72	632	6303
73	641	6293
74	649	6275
75	656	6258
76	665	6244
77	673	6232
78	681	6221
79	690	6216
80	698	6202
81	706	6187
82	715	6178
83	723	6164
84	731	6154
85	739	6143
86	748	6131
87	756	6117
88	764	6103
89	772	6097
90	781	6092
91	789	6078
92	798	6070
93	807	6061
94	814	6047
95	823	6037
96	830	6022
97	839	6014
98	847	6003
99	855	5990
100	864	5983
101	873	5977
102	881	5967
103	890	5960
104	898	5949
105	906	5937
106	915	5928
107	923	5919
108	932	5911
109	941	5904
110	949	5895
111	957	5883
112	966	5875
113	975	5872
114	986	5873
115	995	5871
116	1005	5867
117	1019	5893
118	1031	5901
119	1040	5893
120	1048	5884
121	1057	5876
122	1065	5865
123	1073	5854
124	1082	5844
125	1090	5833
126	1098	5821
127	1107	5813
128	1116	5809
129	1125	5802
130	1135	5797
131	1144	5790
132	1152	5778
133	1160	5769
134	1169	5760
135	1177	5751
136	1185	5739
137	1195	5733
138	1203	5723
