DATE,unit,avg_price,price_per_kg,volume,max_price,min_price
2023-06-12,10kg상자,1603.14,1603.14,60208.0,,
2023-06-13,10kg상자,1795.88,1795.88,105594.0,,
2023-06-14,10kg상자,1820.65,1820.65,99578.0,,
2023-06-15,10kg상자,1790.35,1790.35,209823.4,,
2023-06-16,10kg상자,1818.59,1818.59,192548.0,,
2023-06-17,10kg상자,1819.01,1819.01,193471.0,,
2023-06-19,10kg상자,1797.81,1797.81,296678.8,,
2023-06-20,10kg상자,1826.05,1826.05,124633.0,,
2023-06-21,10kg상자,1929.76,1929.76,19781.0,,
2023-06-22,10kg상자,1856.04,1856.04,17334.0,,
2023-06-23,10kg상자,1874.03,1874.03,51094.0,,
2023-06-24,10kg상자,1905.4,1905.4,30088.0,,
2023-06-26,10kg상자,1814.62,1814.62,206951.0,,
2023-06-27,10kg상자,1969.51,1969.51,119398.0,,
2023-06-28,10kg상자,1844.33,1844.33,126830.4,,
2023-06-29,10kg상자,1792.21,1792.21,103296.4,,
2023-06-30,10kg상자,1747.59,1747.59,109841.0,,
2023-07-01,10kg상자,1820.3,1820.3,87614.0,,
2023-07-03,10kg상자,1821.15,1821.15,120167.0,,
2023-07-04,10kg상자,2145.67,2145.67,68987.2,,
2023-07-05,10kg상자,2228.51,2228.51,58321.0,,
2023-07-06,10kg상자,2258.31,2258.31,66217.4,,
2023-07-07,10kg상자,2308.66,2308.66,59829.4,,
2023-07-08,10kg상자,2220.62,2220.62,80763.0,,
2023-07-10,10kg상자,2155.88,2155.88,124710.6,,
2023-07-11,10kg상자,2037.25,2037.25,72535.2,,
2023-07-12,10kg상자,1989.06,1989.06,46829.0,,
2023-07-13,10kg상자,2030.14,2030.14,24866.2,,
2023-07-14,10kg상자,1974.07,1974.07,15820.0,,
2023-07-15,10kg상자,2008.27,2008.27,6857.0,,
2023-07-17,10kg상자,2120.32,2120.32,194545.6,,
2023-07-18,10kg상자,2384.02,2384.02,26655.2,,
2023-07-19,10kg상자,2415.77,2415.77,34076.1,,
2023-07-20,10kg상자,2626.87,2626.87,30660.6,,
2023-07-21,10kg상자,3126.38,3126.38,28627.6,,
2023-07-22,10kg상자,3024.83,3024.83,37719.0,,
2023-07-24,10kg상자,2667.05,2667.05,67398.1,,
2023-07-25,10kg상자,2571.05,2571.05,53362.0,,
2023-07-26,10kg상자,2181.04,2181.04,58238.2,,
2023-07-27,10kg상자,2225.07,2225.07,53198.8,,
