date,crop,price_per_kg,volume_kg
2017-09-28,cucumber,16402.99,320936.0
2017-09-29,cucumber,16108.2,355984.0
2017-09-30,cucumber,18073.07,292258.0
2017-10-01,cucumber,9247.75,1510.0
2017-10-02,cucumber,27689.11,412668.0
2017-10-03,cucumber,27586.68,185299.0
2017-10-07,cucumber,15481.48,402373.0
2017-10-09,cucumber,15356.35,188054.0
2017-10-10,cucumber,17469.3,125431.0
2017-10-11,cucumber,17351.3,121253.0
2017-10-12,cucumber,17972.75,162148.0
2017-10-13,cucumber,17962.02,323731.0
2017-10-14,cucumber,15281.6,315696.0
2017-10-16,cucumber,17328.44,127668.0
2017-10-17,cucumber,23506.01,171110.0
2017-10-18,cucumber,23080.03,152698.0
2017-10-19,cucumber,25024.03,182860.0
2017-10-20,cucumber,27983.12,207827.0
2017-10-21,cucumber,33109.03,211333.0
2017-10-24,cucumber,30509.88,88145.0
2017-10-25,cucumber,26211.63,219632.0
2017-10-26,cucumber,25421.9,223588.0
2017-10-27,cucumber,23750.87,296270.0
2017-10-28,cucumber,19269.66,356420.0
2017-10-30,cucumber,16676.48,204837.0
2017-10-31,cucumber,16556.41,87946.0
2017-11-01,cucumber,15841.62,259346.0
2017-11-02,cucumber,15732.75,88316.0
2017-11-03,cucumber,17331.05,275385.0
2017-11-04,cucumber,16926.38,284727.0
2017-11-06,cucumber,15493.92,136311.0
2017-11-07,cucumber,18617.85,119129.0
2017-11-08,cucumber,19340.5,202805.0
2017-11-09,cucumber,19957.61,136513.0
2017-11-10,cucumber,19678.71,246343.0
2017-11-11,cucumber,18820.99,215572.0
2017-11-13,cucumber,17236.18,107720.0
2017-11-14,cucumber,24864.95,93579.0
2017-11-15,cucumber,20264.2,94013.0
2017-11-16,cucumber,22476.56,92305.0
2017-11-17,cucumber,21350.08,220723.0
2017-11-18,cucumber,21307.68,172830.0
2017-11-21,cucumber,24638.04,72799.0
2017-11-22,cucumber,26321.11,146928.0
2017-11-23,cucumber,26038.59,81838.0
2017-11-24,cucumber,25105.4,177234.0
2017-11-25,cucumber,26769.24,166915.0
2017-11-27,cucumber,24492.29,75070.0
2017-11-28,cucumber,28226.19,69851.0
2017-11-29,cucumber,30538.45,158501.0
2017-11-30,cucumber,27571.95,85915.0
2017-12-01,cucumber,26690.82,208461.0
2017-12-02,cucumber,24411.13,216249.0
2017-12-04,cucumber,23042.99,104383.0
2017-12-05,cucumber,23241.14,80339.0
2017-12-06,cucumber,22246.27,152566.0
2017-12-07,cucumber,21592.85,161862.0
2017-12-08,cucumber,21922.1,232000.0
2017-12-09,cucumber,21171.47,211299.0
2017-12-11,cucumber,20223.44,123316.0
2017-12-12,cucumber,20734.59,48611.0
2017-12-13,cucumber,20669.8,158303.0
2017-12-14,cucumber,25103.06,181366.0
2017-12-16,cucumber,27102.77,185838.0
2017-12-18,cucumber,26166.74,122007.0
2017-12-19,cucumber,27989.92,186020.0
2017-12-20,cucumber,27246.47,168014.0
2017-12-21,cucumber,27276.89,180688.0
2017-12-22,cucumber,27474.34,217643.0
2017-12-23,cucumber,24689.19,69699.0
2017-12-25,cucumber,24748.87,84022.0
2017-12-26,cucumber,28356.72,160334.0
2017-12-27,cucumber,26510.42,189036.0
2017-12-28,cucumber,30763.19,181183.0
2017-12-30,cucumber,38872.22,243324.0
2018-01-02,cucumber,2266.16,9732.0
2018-01-03,cucumber,1875.74,541077.6
2018-01-04,cucumber,2101.29,149885.7
2018-01-05,cucumber,2362.23,221436.9
2018-01-06,cucumber,2245.43,178087.1
2018-01-08,cucumber,2372.73,325396.4
2018-01-09,cucumber,2346.07,143631.2
2018-01-10,cucumber,2420.67,183598.2
2018-01-11,cucumber,2512.63,139464.1
2018-01-12,cucumber,2587.23,158343.7
