DATE,unit,avg_price,price_per_kg,volume,max_price,min_price
2023-01-02,1kg상자,12799.92,12799.92,10055.5,,
2023-01-03,1kg상자,10855.41,10855.41,122298.0,,
2023-01-04,1kg상자,9968.96,9968.96,127858.9,,
2023-01-05,1kg상자,9607.89,9607.89,89029.0,,
2023-01-06,1kg상자,9223.47,9223.47,105757.0,,
2023-01-07,1kg상자,8662.84,8662.84,117427.5,,
2023-01-09,1kg상자,9274.92,9274.92,112752.0,,
2023-01-10,1kg상자,8680.82,8680.82,115245.0,,
2023-01-11,1kg상자,8733.29,8733.29,82091.3,,
2023-01-12,1kg상자,9120.34,9120.34,94835.0,,
2023-01-13,1kg상자,8963.43,8963.43,112354.5,,
2023-01-14,1kg상자,8918.66,8918.66,122764.3,,
2023-01-15,1kg상자,5880.0,5880.0,107.0,,
2023-01-16,1kg상자,9527.48,9527.48,118536.0,,
2023-01-17,1kg상자,8988.22,8988.22,94217.5,,
2023-01-18,1kg상자,9772.24,9772.24,78438.5,,
2023-01-19,1kg상자,11144.07,11144.07,109913.1,,
2023-01-20,1kg상자,11224.86,11224.86,148984.0,,
2023-01-21,1kg상자,10938.74,10938.74,113090.5,,
2023-01-24,1kg상자,12805.05,12805.05,277.0,,
2023-01-25,1kg상자,8135.27,8135.27,121202.4,,
2023-01-26,1kg상자,7833.32,7833.32,85659.0,,
2023-01-27,1kg상자,8743.87,8743.87,76482.0,,
2023-01-28,1kg상자,9733.0,9733.0,81001.0,,
2023-01-30,1kg상자,9711.75,9711.75,92091.0,,
2023-01-31,1kg상자,9410.97,9410.97,99621.0,,
2023-02-01,1kg상자,9548.38,9548.38,72175.0,,
2023-02-02,1kg상자,9920.44,9920.44,80829.5,,
2023-02-03,1kg상자,9482.28,9482.28,115235.0,,
2023-02-04,1kg상자,8735.08,8735.08,132377.0,,
2023-02-06,1kg상자,8695.5,8695.5,129527.0,,
2023-02-07,1kg상자,7964.16,7964.16,119519.5,,
2023-02-08,1kg상자,7638.69,7638.69,111040.3,,
2023-02-09,1kg상자,7573.18,7573.18,101542.5,,
2023-02-10,1kg상자,7638.14,7638.14,116798.0,,
2023-02-11,1kg상자,8030.8,8030.8,128745.0,,
2023-02-13,1kg상자,8064.49,8064.49,141118.5,,
2023-02-14,1kg상자,8072.54,8072.54,131805.7,,
2023-02-15,1kg상자,8260.43,8260.43,96858.5,,
2023-02-16,1kg상자,8897.45,8897.45,94212.5,,
2023-02-17,1kg상자,9081.81,9081.81,131462.0,,
2023-02-18,1kg상자,9316.28,9316.28,142398.5,,
2023-02-20,1kg상자,9304.15,9304.15,141234.0,,
2023-02-21,1kg상자,8751.76,8751.76,112611.0,,
2023-02-22,1kg상자,8610.77,8610.77,107258.5,,
2023-02-23,1kg상자,8510.1,8510.1,108631.0,,
2023-02-24,1kg상자,8136.05,8136.05,150283.0,,
2023-02-25,1kg상자,7980.97,7980.97,164947.5,,
2023-02-27,1kg상자,7619.97,7619.97,162385.0,,
2023-02-28,1kg상자,7314.44,7314.44,157506.5,,
2023-03-01,1kg상자,7372.17,7372.17,121018.0,,
2023-03-02,1kg상자,7799.85,7799.85,127206.5,,
2023-03-03,1kg상자,7835.61,7835.61,143557.0,,
2023-03-04,1kg상자,8188.54,8188.54,143493.5,,
2023-03-06,1kg상자,7611.32,7611.32,145142.0,,
2023-03-07,1kg상자,6772.13,6772.13,154280.5,,
2023-03-08,1kg상자,6104.93,6104.93,90242.0,,
2023-03-09,1kg상자,5808.48,5808.48,148771.0,,
2023-03-10,1kg상자,5549.65,5549.65,177389.0,,
2023-03-11,1kg상자,5510.43,5510.43,183307.0,,
2023-03-13,1kg상자,5634.68,5634.68,221412.6,,
2023-03-14,1kg상자,5365.79,5365.79,193184.5,,
2023-03-15,1kg상자,5407.24,5407.24,140658.0,,
2023-03-16,1kg상자,5766.03,5766.03,122045.0,,
2023-03-17,1kg상자,5835.11,5835.11,155455.4,,
2023-03-18,1kg상자,6589.71,6589.71,149611.5,,
2023-03-20,1kg상자,6479.93,6479.93,140517.8,,
2023-03-21,1kg상자,6152.18,6152.18,145933.5,,
2023-03-22,1kg상자,5997.33,5997.33,134360.6,,
2023-03-23,1kg상자,5304.9,5304.9,141293.3,,
2023-03-24,1kg상자,5472.37,5472.37,165334.5,,
2023-03-25,1kg상자,5715.07,5715.07,155410.0,,
2023-03-27,1kg상자,5785.56,5785.56,166164.7,,
2023-03-28,1kg상자,5171.59,5171.59,140082.0,,
2023-03-29,1kg상자,5384.84,5384.84,120836.3,,
2023-03-30,1kg상자,5246.63,5246.63,105214.0,,
2023-03-31,1kg상자,5198.17,5198.17,123097.2,,
2023-04-01,1kg상자,6042.55,6042.55,115995.5,,
2023-04-03,1kg상자,5542.03,5542.03,137963.1,,
2023-04-04,1kg상자,4585.47,4585.47,148220.9,,
2023-04-05,1kg상자,4187.4,4187.4,101600.5,,
2023-04-06,1kg상자,4431.58,4431.58,101579.8,,
2023-04-07,1kg상자,4923.69,4923.69,96596.0,,
