DATE,unit,avg_price,price_per_kg,volume,max_price,min_price
2023-01-02,5kg상자,2228.0,2228.0,100.0,,
2023-01-03,5kg상자,2116.64,2116.64,6682.5,,
2023-01-04,5kg상자,1916.59,1916.59,3220.0,,
2023-01-05,5kg상자,1746.47,1746.47,3220.0,,
2023-01-06,5kg상자,1654.19,1654.19,4400.0,,
2023-01-07,5kg상자,2167.92,2167.92,2447.0,,
2023-01-09,5kg상자,2106.6,2106.6,6880.0,,
2023-01-10,5kg상자,1789.07,1789.07,1420.0,,
2023-01-11,5kg상자,2103.78,2103.78,3399.0,,
2023-01-12,5kg상자,1783.15,1783.15,2185.0,,
2023-01-13,5kg상자,2080.54,2080.54,1330.0,,
2023-01-14,5kg상자,1840.65,1840.65,360.0,,
2023-01-16,5kg상자,2180.66,2180.66,4975.0,,
2023-01-17,5kg상자,1924.19,1924.19,2440.0,,
2023-01-18,5kg상자,2213.69,2213.69,4075.0,,
2023-01-19,5kg상자,2145.98,2145.98,3755.0,,
2023-01-20,5kg상자,2154.47,2154.47,4110.0,,
2023-01-21,5kg상자,1774.29,1774.29,2060.0,,
2023-01-25,5kg상자,2324.73,2324.73,3237.5,,
2023-01-26,5kg상자,2002.46,2002.46,7302.5,,
2023-01-27,5kg상자,2918.67,2918.67,5694.0,,
2023-01-28,5kg상자,2435.24,2435.24,2680.0,,
2023-01-30,5kg상자,2950.9,2950.9,12920.0,,
2023-01-31,5kg상자,2397.73,2397.73,2200.0,,
2023-02-01,5kg상자,2325.64,2325.64,6417.5,,
2023-02-02,5kg상자,3328.86,3328.86,8462.5,,
2023-02-03,5kg상자,2315.14,2315.14,8588.5,,
2023-02-04,5kg상자,3232.63,3232.63,2717.5,,
2023-02-06,5kg상자,3218.95,3218.95,12025.0,,
2023-02-07,5kg상자,2383.16,2383.16,4522.5,,
2023-02-08,5kg상자,2566.94,2566.94,4800.0,,
2023-02-09,5kg상자,3561.72,3561.72,6507.0,,
2023-02-10,5kg상자,2457.77,2457.77,5530.0,,
2023-02-11,5kg상자,3482.46,3482.46,3007.5,,
2023-02-13,5kg상자,3009.25,3009.25,12417.5,,
2023-02-14,5kg상자,3498.32,3498.32,2570.0,,
2023-02-15,5kg상자,3696.07,3696.07,3467.5,,
2023-02-16,5kg상자,3844.95,3844.95,8437.5,,
2023-02-17,5kg상자,3556.02,3556.02,6416.0,,
2023-02-18,5kg상자,3294.05,3294.05,3685.0,,
2023-02-20,5kg상자,3562.53,3562.53,14610.0,,
2023-02-21,5kg상자,3464.13,3464.13,3177.5,,
2023-02-22,5kg상자,4387.36,4387.36,6171.5,,
2023-02-23,5kg상자,4286.08,4286.08,8452.5,,
2023-02-24,5kg상자,4064.64,4064.64,7432.5,,
2023-02-25,5kg상자,4182.28,4182.28,3605.0,,
2023-02-27,5kg상자,4239.43,4239.43,14967.5,,
2023-02-28,5kg상자,4293.7,4293.7,3886.0,,
2023-03-01,5kg상자,3902.05,3902.05,8950.0,,
2023-03-02,5kg상자,4043.37,4043.37,8862.5,,
2023-03-03,5kg상자,3847.83,3847.83,8015.0,,
2023-03-04,5kg상자,3909.6,3909.6,3872.5,,
2023-03-06,5kg상자,3852.24,3852.24,15657.5,,
2023-03-07,5kg상자,4047.94,4047.94,4580.0,,
2023-03-09,5kg상자,3793.37,3793.37,9787.5,,
2023-03-10,5kg상자,3872.22,3872.22,7829.5,,
2023-03-11,5kg상자,3366.43,3366.43,5257.5,,
2023-03-13,5kg상자,3623.91,3623.91,14349.0,,
2023-03-14,5kg상자,3113.02,3113.02,6357.5,,
2023-03-15,5kg상자,3502.47,3502.47,8085.0,,
2023-03-16,5kg상자,3461.73,3461.73,3385.0,,
2023-03-17,5kg상자,3561.48,3561.48,5892.5,,
2023-03-18,5kg상자,3152.21,3152.21,3140.0,,
2023-03-20,5kg상자,3402.4,3402.4,16650.0,,
2023-03-21,5kg상자,3395.36,3395.36,4032.5,,
2023-03-22,5kg상자,3685.53,3685.53,6587.5,,
2023-03-23,5kg상자,3625.41,3625.41,17355.0,,
2023-03-24,5kg상자,3496.93,3496.93,8639.0,,
2023-03-25,5kg상자,3949.03,3949.03,4787.5,,
2023-03-27,5kg상자,3499.54,3499.54,22477.5,,
2023-03-28,5kg상자,4308.67,4308.67,5882.5,,
2023-03-29,5kg상자,3999.49,3999.49,11101.5,,
2023-03-30,5kg상자,4441.71,4441.71,17110.0,,
2023-03-31,5kg상자,3609.27,3609.27,8664.5,,
2023-04-01,5kg상자,4204.39,4204.39,5072.5,,
2023-04-03,5kg상자,3692.8,3692.8,15032.5,,
2023-04-04,5kg상자,4041.0,4041.0,11755.0,,
2023-04-05,5kg상자,3732.66,3732.66,8030.0,,
2023-04-06,5kg상자,3921.32,3921.32,11664.5,,
2023-04-07,5kg상자,3837.86,3837.86,9795.5,,
2023-04-08,5kg상자,3545.81,3545.81,6267.5,,
2023-04-10,5kg상자,3414.28,3414.28,23105.0,,
2023-04-11,5kg상자,3417.7,3417.7,6027.5,,
2023-04-12,5kg상자,3540.99,3540.99,6270.0,,
2023-04-13,5kg상자,3579.46,3579.46,12322.5,,
2023-04-14,5kg상자,3366.96,3366.96,10625.5,,
2023-04-15,5kg상자,3677.69,3677.69,5200.0,,
2023-04-17,5kg상자,3211.54,3211.54,15312.5,,
2023-04-18,5kg상자,2927.0,2927.0,7095.0,,
2023-04-19,5kg상자,3330.1,3330.1,6964.0,,
2023-04-20,5kg상자,3669.75,3669.75,12925.0,,
2023-04-21,5kg상자,3163.77,3163.77,12249.0,,
2023-04-22,5kg상자,2750.06,2750.06,4382.5,,
2023-04-24,5kg상자,3061.65,3061.65,12760.0,,
2023-04-25,5kg상자,3362.15,3362.15,5252.5,,
2023-04-26,5kg상자,2374.42,2374.42,5817.5,,
2023-04-27,5kg상자,3269.63,3269.63,6055.0,,
2023-04-28,5kg상자,2548.35,2548.35,8472.5,,
2023-04-29,5kg상자,3102.84,3102.84,6225.0,,
2023-05-01,5kg상자,3332.32,3332.32,9874.0,,
2023-05-02,5kg상자,2585.7,2585.7,9222.5,,
2023-05-03,5kg상자,3188.15,3188.15,7232.5,,
2023-05-04,5kg상자,2592.48,2592.48,9007.5,,
2023-05-05,5kg상자,2499.33,2499.33,7355.0,,
2023-05-06,5kg상자,2595.66,2595.66,5925.0,,
2023-05-08,5kg상자,2487.6,2487.6,17432.5,,
2023-05-09,5kg상자,2509.78,2509.78,4902.5,,
2023-05-10,5kg상자,2832.64,2832.64,7452.5,,
2023-05-11,5kg상자,2737.83,2737.83,5705.0,,
2023-05-12,5kg상자,2584.29,2584.29,12422.5,,
2023-05-13,5kg상자,2689.58,2689.58,9635.0,,
2023-05-15,5kg상자,2495.75,2495.75,24025.0,,
2023-05-16,5kg상자,2464.35,2464.35,9250.0,,
2023-05-17,5kg상자,2536.13,2536.13,11065.0,,
2023-05-18,5kg상자,2508.98,2508.98,18172.5,,
2023-05-19,5kg상자,2518.62,2518.62,11100.0,,
2023-05-20,5kg상자,2285.52,2285.52,10900.0,,
2023-05-22,5kg상자,2477.67,2477.67,10922.5,,
2023-05-23,5kg상자,2262.49,2262.49,11622.5,,
2023-05-24,5kg상자,1939.99,1939.99,9727.5,,
2023-05-25,5kg상자,2562.93,2562.93,15488.0,,
2023-05-26,5kg상자,2392.59,2392.59,11015.0,,
2023-05-27,5kg상자,2234.02,2234.02,5475.0,,
2023-05-29,5kg상자,2316.82,2316.82,5190.0,,
2023-05-30,5kg상자,1773.64,1773.64,2667.5,,
2023-05-31,5kg상자,2316.61,2316.61,4627.5,,
2023-06-01,5kg상자,2321.19,2321.19,7715.0,,
2023-06-02,5kg상자,2272.64,2272.64,9652.5,,
2023-06-03,5kg상자,2180.53,2180.53,10060.0,,
2023-06-05,5kg상자,2480.19,2480.19,10211.5,,
2023-06-06,5kg상자,2571.37,2571.37,10975.0,,
2023-06-07,5kg상자,2458.77,2458.77,11103.0,,
2023-06-08,5kg상자,2227.74,2227.74,17003.0,,
2023-06-09,5kg상자,2315.86,2315.86,11590.0,,
2023-06-10,5kg상자,2360.86,2360.86,7542.5,,
2023-06-12,5kg상자,2017.19,2017.19,18282.5,,
2023-06-13,5kg상자,2182.33,2182.33,7462.5,,
2023-06-14,5kg상자,2111.97,2111.97,5550.0,,
2023-06-15,5kg상자,2342.32,2342.32,11860.5,,
2023-06-16,5kg상자,2295.48,2295.48,3615.0,,
2023-06-17,5kg상자,2102.92,2102.92,5865.0,,
2023-06-19,5kg상자,2214.12,2214.12,20010.0,,
2023-06-20,5kg상자,2161.79,2161.79,4115.0,,
2023-06-21,5kg상자,2150.2,2150.2,5235.0,,
2023-06-22,5kg상자,2183.33,2183.33,10560.0,,
2023-06-23,5kg상자,2050.65,2050.65,4815.0,,
2023-06-24,5kg상자,2009.19,2009.19,8315.0,,
2023-06-26,5kg상자,1874.65,1874.65,10010.0,,
2023-06-27,5kg상자,2327.55,2327.55,2458.0,,
2023-06-28,5kg상자,2096.33,2096.33,3030.0,,
2023-06-29,5kg상자,2070.75,2070.75,14753.0,,
2023-06-30,5kg상자,1923.64,1923.64,2790.0,,
2023-07-01,5kg상자,1812.57,1812.57,2165.0,,
2023-07-03,5kg상자,2163.71,2163.71,15143.0,,
2023-07-04,5kg상자,1868.6,1868.6,3640.0,,
2023-07-05,5kg상자,1838.93,1838.93,2150.0,,
2023-07-06,5kg상자,2097.35,2097.35,5470.0,,
2023-07-07,5kg상자,2118.21,2118.21,9075.0,,
2023-07-08,5kg상자,1985.67,1985.67,1560.0,,
2023-07-10,5kg상자,2361.82,2361.82,8695.0,,
2023-07-11,5kg상자,2187.64,2187.64,2690.0,,
2023-07-12,5kg상자,2713.55,2713.55,1435.0,,
2023-07-13,5kg상자,2291.62,2291.62,4340.0,,
2023-07-14,5kg상자,2329.82,2329.82,3915.0,,
2023-07-15,5kg상자,2262.51,2262.51,5200.0,,
2023-07-17,5kg상자,2080.42,2080.42,12425.0,,
2023-07-18,5kg상자,2145.46,2145.46,7760.0,,
2023-07-19,5kg상자,1969.77,1969.77,10570.0,,
2023-07-20,5kg상자,2034.6,2034.6,11150.0,,
2023-07-21,5kg상자,2123.18,2123.18,14440.0,,
2023-07-22,5kg상자,2151.48,2151.48,11935.0,,
2023-07-24,5kg상자,2306.54,2306.54,14620.0,,
2023-07-25,5kg상자,2739.08,2739.08,5385.0,,
2023-07-26,5kg상자,2417.23,2417.23,14720.0,,
2023-07-27,5kg상자,2216.89,2216.89,17580.0,,
2023-07-28,5kg상자,2278.9,2278.9,14820.0,,
2023-07-29,5kg상자,2178.69,2178.69,15735.0,,
2023-07-31,5kg상자,2384.61,2384.61,19619.0,,
2023-08-01,5kg상자,2310.99,2310.99,13822.0,,
2023-08-02,5kg상자,2337.51,2337.51,16405.0,,
2023-08-03,5kg상자,2686.23,2686.23,15270.0,,
2023-08-04,5kg상자,2918.29,2918.29,19410.0,,
2023-08-07,5kg상자,2607.39,2607.39,30100.0,,
2023-08-08,5kg상자,2894.23,2894.23,15453.0,,
2023-08-09,5kg상자,2728.02,2728.02,11608.0,,
2023-08-10,5kg상자,2915.34,2915.34,12975.0,,
2023-08-11,5kg상자,3021.24,3021.24,10725.0,,
2023-08-12,5kg상자,2137.48,2137.48,13770.0,,
2023-08-14,5kg상자,2630.74,2630.74,15845.0,,
2023-08-15,5kg상자,3015.59,3015.59,13590.0,,
2023-08-16,5kg상자,2901.07,2901.07,10450.0,,
2023-08-17,5kg상자,3332.92,3332.92,9560.0,,
2023-08-18,5kg상자,2803.56,2803.56,11100.0,,
2023-08-19,5kg상자,3221.29,3221.29,7535.0,,
2023-08-21,5kg상자,3451.52,3451.52,8940.0,,
2023-08-22,5kg상자,3317.77,3317.77,9955.0,,
2023-08-23,5kg상자,4096.89,4096.89,13125.0,,
2023-08-24,5kg상자,3861.22,3861.22,8220.0,,
2023-08-25,5kg상자,3428.31,3428.31,8735.0,,
2023-08-26,5kg상자,3637.71,3637.71,12785.0,,
2023-08-28,5kg상자,3426.26,3426.26,11155.0,,
2023-08-29,5kg상자,3231.0,3231.0,8785.0,,
2023-08-30,5kg상자,3588.43,3588.43,7920.0,,
2023-08-31,5kg상자,3888.95,3888.95,7120.0,,
2023-09-01,5kg상자,3916.13,3916.13,5270.0,,
2023-09-02,5kg상자,3964.81,3964.81,13300.0,,
2023-09-04,5kg상자,3933.8,3933.8,9605.0,,
2023-09-05,5kg상자,4027.51,4027.51,10885.0,,
2023-09-06,5kg상자,4667.63,4667.63,8165.0,,
2023-09-07,5kg상자,4353.57,4353.57,7915.0,,
2023-09-08,5kg상자,4895.39,4895.39,13090.0,,
2023-09-09,5kg상자,4481.23,4481.23,10950.0,,
2023-09-11,5kg상자,4660.89,4660.89,6910.0,,
2023-09-12,5kg상자,3904.16,3904.16,9185.0,,
2023-09-13,5kg상자,4279.07,4279.07,11250.0,,
2023-09-14,5kg상자,3827.46,3827.46,10160.0,,
2023-09-15,5kg상자,3333.27,3333.27,11495.0,,
2023-09-16,5kg상자,3394.66,3394.66,13190.0,,
2023-09-18,5kg상자,3480.17,3480.17,14720.0,,
2023-09-19,5kg상자,2933.58,2933.58,15295.0,,
2023-09-20,5kg상자,3205.34,3205.34,11310.0,,
2023-09-21,5kg상자,3220.82,3220.82,1245.0,,
2023-09-22,5kg상자,4460.59,4460.59,5115.0,,
