date,stn_id,stn_name,avgTa,minTa,maxTa,sumRn,avgRhm,sumSsHr,avgWs,minTg,avgTs,sumGsr
2016-01-01,101,춘천,-1.7,-5.8,2.3,,90.8,2.5,0.7,-11.3,-0.4,4.67
2016-01-02,101,춘천,2.7,0.0,7.0,,85.0,0.3,0.5,-4.2,0.7,3.55
2016-01-03,101,춘천,2.0,-0.2,7.2,,95.3,1.8,0.5,-5.3,1.3,4.38
2016-01-04,101,춘천,1.4,-2.4,6.7,,61.0,7.5,1.7,-7.1,1.4,8.6
2016-01-05,101,춘천,-3.1,-7.1,2.9,,55.1,7.2,1.0,-14.4,-0.3,8.04
2016-01-06,101,춘천,-4.4,-10.3,2.6,,73.4,6.3,0.9,-15.8,-1.6,7.75
2016-01-07,101,춘천,-4.2,-9.9,2.4,,63.4,8.0,1.2,-16.5,-1.9,9.12
2016-01-08,101,춘천,-5.6,-11.4,1.4,,62.1,8.0,0.9,-17.8,-2.7,9.22
2016-01-09,101,춘천,-3.7,-11.0,2.1,,61.8,8.0,1.6,-17.6,-2.9,9.25
2016-01-10,101,춘천,-0.3,-6.4,5.1,,52.8,7.7,1.4,-13.1,0.1,9.39
2016-01-11,101,춘천,-5.5,-10.5,2.0,,57.5,8.2,0.5,-17.8,-2.6,9.47
2016-01-12,101,춘천,-6.0,-12.8,1.9,,55.5,8.2,1.1,-19.9,-3.3,9.51
2016-01-13,101,춘천,-5.1,-12.5,-0.2,0.1,65.8,5.7,1.5,-18.1,-3.7,7.88
2016-01-14,101,춘천,-4.9,-12.8,-0.1,0.0,58.1,6.4,1.1,-19.2,-2.9,8.64
2016-01-15,101,춘천,-4.1,-9.7,3.5,,74.4,8.0,0.7,-16.5,-1.9,9.02
2016-01-16,101,춘천,-5.1,-9.4,-0.9,0.3,91.8,1.0,0.4,-15.9,-4.1,3.7
2016-01-17,101,춘천,-1.2,-4.5,2.5,,90.9,0.0,0.5,-6.6,-0.9,4.55
2016-01-18,101,춘천,-5.2,-11.9,-0.7,0.0,57.9,7.2,3.1,-13.6,-1.5,9.28
2016-01-19,101,춘천,-12.3,-15.0,-7.7,,44.3,8.4,3.1,-19.6,-6.9,10.25
2016-01-20,101,춘천,-12.2,-17.7,-5.0,,61.4,8.2,0.7,-23.1,-7.4,9.22
2016-01-21,101,춘천,-8.8,-13.4,-1.4,,59.8,5.6,0.6,-19.6,-4.4,7.73
2016-01-22,101,춘천,-8.4,-15.5,-2.5,,55.0,6.3,0.8,-22.1,-5.6,7.79
2016-01-23,101,춘천,-9.8,-15.2,-6.2,,34.3,8.1,2.6,-23.6,-5.5,10.31
2016-01-24,101,춘천,-14.7,-20.1,-8.9,,51.4,8.5,1.5,-25.4,-8.4,9.91
